entityId	LOC	MVG	COM	FanIn	FanOut	MPC
794	7	1	1	1	2	2
795	5	1	1	2	1	1
796	8	1	1	2	2	3
797	7	1	1	1	2	3
798	26	10	1	6	4	4
799	24	7	1	6	5	5
800	4	1	1	4	0	0
802	4	1	1	2	0	0
804	4	1	1	1	0	0
806	5	1	1	2	0	0
807	5	1	1	2	0	0
808	6	1	1	1	0	0
809	3	1	6	0	0	0
810	3	1	8	0	0	0
812	3	1	3	1	0	0
813	3	1	3	2	0	0
814	1	1	1	0	0	0
815	4	1	1	2	0	0
816	5	1	1	1	0	0
817	15	6	1	6	0	0
818	7	1	4	0	0	0
819	4	1	1	1	0	0
820	5	1	1	11	1	1
821	5	1	1	6	1	1
822	4	1	1	0	1	1
823	3	1	1	0	0	0
824	4	1	34	0	0	0
825	4	1	1	0	0	0
826	3	1	1	0	0	0
827	4	1	1	0	0	0
828	4	1	1	0	0	0
829	3	1	1	0	0	0
830	4	1	3	0	0	0
831	4	1	1	0	0	0
832	3	1	1	0	0	0
833	4	1	3	0	0	0
834	4	1	1	0	0	0
835	3	1	1	0	0	0
836	9	2	1	0	0	0
837	1	1	3	0	0	0
838	1	1	1	2	0	0
839	13	4	1	0	3	3
840	7	1	1	0	1	1
843	5	1	1	0	2	2
844	12	2	1	0	2	2
845	17	4	1	2	3	3
846	18	4	5	2	1	1
847	14	4	1	3	1	1
848	14	4	1	0	2	2
849	12	3	3	2	3	3
850	14	4	1	1	2	2
851	3	1	1	4	1	1
852	12	3	1	7	3	3
853	3	1	1	1	1	1
854	1	1	1	7	2	2
855	1	1	1	1	3	3
856	3	1	1	0	0	0
857	10	3	1	1	1	1
858	4	1	1	1	0	0
859	3	1	1	0	0	0
860	22	2	1	0	3	5
861	5	1	1	1	2	2
862	5	1	1	7	2	2
863	4	1	1	1	1	1
865	6	3	1	0	0	0
866	4	1	1	0	0	0
867	13	3	1	0	0	0
890	5	1	1	0	1	1
891	14	4	1	0	5	5
893	4	1	1	0	0	0
894	3	1	1	0	0	0
895	3	1	1	0	0	0
897	10	2	1	2	1	1
898	11	2	1	1	1	1
899	6	1	1	1	1	1
900	6	1	1	5	1	1
901	6	1	1	4	1	1
902	6	1	1	1	1	1
903	6	1	1	5	1	1
904	9	2	1	2	1	1
905	14	4	1	0	5	5
908	15	4	1	2	0	0
909	4	1	1	1	1	1
910	11	2	1	1	0	0
911	8	1	1	1	2	2
912	5	1	1	1	1	1
913	6	1	1	1	1	1
914	12	4	1	0	0	0
